mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__regressor__max_depth,param_model__regressor__max_features,param_model__regressor__min_samples_leaf,param_model__regressor__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
2.995043087005615,0.016246337914825812,0.015928936004638673,0.00044752917359671757,10,1.0,10,200,"{'model__regressor__max_depth': 10, 'model__regressor__max_features': 1.0, 'model__regressor__min_samples_leaf': 10, 'model__regressor__n_estimators': 200}",-0.15142123201799118,-0.1614287104243083,-0.1530801791787554,-0.14103961814609547,-0.13444523136786454,-0.14828299422700297,0.009482842951661874,24,-0.1150010317551825,-0.11528253500767685,-0.11510831359987693,-0.11632941234362411,-0.11732202803010952,-0.11580866414729399,0.0008923028373148817
6.810662460327149,0.016890652663725074,0.03094964027404785,0.001757934096771931,10,1.0,10,500,"{'model__regressor__max_depth': 10, 'model__regressor__max_features': 1.0, 'model__regressor__min_samples_leaf': 10, 'model__regressor__n_estimators': 500}",-0.1514269078416712,-0.16102703525687712,-0.15340188309507072,-0.1414610167865393,-0.13398900945282086,-0.14826117048659587,0.009480008368938905,22,-0.11477513032877158,-0.11548106159099178,-0.11496674657603836,-0.1159106253044861,-0.11698688577430538,-0.11562408991491865,0.0007889999783729793
4.843118047714233,0.013330863201865209,0.021134376525878906,0.001270153108343152,,0.5,1,200,"{'model__regressor__max_depth': None, 'model__regressor__max_features': 0.5, 'model__regressor__min_samples_leaf': 1, 'model__regressor__n_estimators': 200}",-0.13968790648918,-0.14807522888001332,-0.13974465747867537,-0.1272886202413677,-0.12156218662872502,-0.13527171994359227,0.009540659300596705,2,-0.04988517090782116,-0.05138761616305199,-0.05084475011258506,-0.05150030280419736,-0.0525997396943256,-0.051243515936396235,0.0008865847563841624
12.117236185073853,0.03929132683481607,0.04400677680969238,0.002082405136496723,,0.5,1,500,"{'model__regressor__max_depth': None, 'model__regressor__max_features': 0.5, 'model__regressor__min_samples_leaf': 1, 'model__regressor__n_estimators': 500}",-0.13981761518651897,-0.14786450115084337,-0.13994623729996764,-0.1267377822523438,-0.12135928642199216,-0.13514508446233317,0.00966848624029532,1,-0.04993463516098681,-0.05113619656070416,-0.050726755759497984,-0.05079906891256436,-0.05162683094208477,-0.05084469746716762,0.0005551414426347474
2.1714634895324707,0.005720730540964059,0.01817183494567871,0.0013009402905175087,,0.5,5,200,"{'model__regressor__max_depth': None, 'model__regressor__max_features': 0.5, 'model__regressor__min_samples_leaf': 5, 'model__regressor__n_estimators': 200}",-0.14431044343785007,-0.15207987477903517,-0.14768393250056236,-0.12987852401856864,-0.12612112365750594,-0.14001477967870443,0.010184424464442685,9,-0.09261050858300078,-0.09389609356776812,-0.0940776779483427,-0.09630047303605847,-0.09618048713898264,-0.09461304805483055,0.0014223274990996704
5.312483787536621,0.017633093528310374,0.03599834442138672,0.0036526453985779575,,0.5,5,500,"{'model__regressor__max_depth': None, 'model__regressor__max_features': 0.5, 'model__regressor__min_samples_leaf': 5, 'model__regressor__n_estimators': 500}",-0.14469247799886567,-0.1515664227813602,-0.14810668234648044,-0.13049884234968487,-0.12601911746346806,-0.14017670858797185,0.010070756952333573,10,-0.09275930578103866,-0.09377092295290393,-0.09409077363327441,-0.09570973741293053,-0.09571486286233735,-0.09440912052849697,0.0011512685972072869
1.6152169704437256,0.010043367040039074,0.021477222442626953,0.0026817281207152997,,0.5,10,200,"{'model__regressor__max_depth': None, 'model__regressor__max_features': 0.5, 'model__regressor__min_samples_leaf': 10, 'model__regressor__n_estimators': 200}",-0.15091896248830713,-0.15892846778494535,-0.15172439724375963,-0.13596661572847316,-0.13236424199925706,-0.14598053704894848,0.010106542407715257,19,-0.1160533671948927,-0.11741200011665723,-0.11634493780858429,-0.12029285296614632,-0.11969624120561839,-0.11795987985837979,0.001732092077308269
3.9188826084136963,0.01711666508588043,0.03161134719848633,0.001953214047542182,,0.5,10,500,"{'model__regressor__max_depth': None, 'model__regressor__max_features': 0.5, 'model__regressor__min_samples_leaf': 10, 'model__regressor__n_estimators': 500}",-0.15040629504840144,-0.15843492635329326,-0.15262164183910598,-0.13576564230112081,-0.13238816896601294,-0.14592333490158688,0.010078527710242608,18,-0.11615487123859285,-0.11694160681226927,-0.11605123167259337,-0.1197250911479898,-0.11902556987126826,-0.11757967414854271,0.0015143816033364543
8.604224967956544,0.022631398845510988,0.021992206573486328,0.0013718798542878964,,1.0,1,200,"{'model__regressor__max_depth': None, 'model__regressor__max_features': 1.0, 'model__regressor__min_samples_leaf': 1, 'model__regressor__n_estimators': 200}",-0.14215222678236772,-0.15224027469600213,-0.1421017560958564,-0.13298920507882242,-0.12447772322532971,-0.13879223717567565,0.009398645114483035,6,-0.05110479410436972,-0.05270641078097303,-0.05177399769646954,-0.052366542581481046,-0.05362267238167675,-0.05231488350899401,0.0008512517640933926
22.820241928100586,0.03245810823932698,0.048717927932739255,0.0013704411702639304,,1.0,1,500,"{'model__regressor__max_depth': None, 'model__regressor__max_features': 1.0, 'model__regressor__min_samples_leaf': 1, 'model__regressor__n_estimators': 500}",-0.1421550751927629,-0.15112060421368656,-0.14179000744077652,-0.13362540463202438,-0.12464345207678804,-0.1386669087112077,0.008934088449349634,5,-0.05099248558516346,-0.05234203483158859,-0.05187507399205138,-0.05165751384457312,-0.0526524091918936,-0.051903903489054035,0.000573487829484049
