mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__regressor__subsample,param_model__regressor__reg_lambda,param_model__regressor__reg_alpha,param_model__regressor__num_leaves,param_model__regressor__n_estimators,param_model__regressor__min_child_samples,param_model__regressor__max_depth,param_model__regressor__learning_rate,param_model__regressor__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.24430131912231445,0.005576249704595095,0.029758612314860027,5.8986103488265294e-05,0.85,1.0,0.1,63,600,40,10,0.1,1.0,"{'model__regressor__subsample': 0.85, 'model__regressor__reg_lambda': 1.0, 'model__regressor__reg_alpha': 0.1, 'model__regressor__num_leaves': 63, 'model__regressor__n_estimators': 600, 'model__regressor__min_child_samples': 40, 'model__regressor__max_depth': 10, 'model__regressor__learning_rate': 0.1, 'model__regressor__colsample_bytree': 1.0}",-0.14315126060756728,-0.1320197452053313,-0.13075261013922695,-0.13530787198404184,0.005570186510562218,28,-0.02137326344949033,-0.02273775789862836,-0.021623019167226372,-0.021911346838448354,0.0005931896323696958
0.2702125708262126,0.00288872975718201,0.03639070192972819,0.003634446148421516,0.7,0.1,1.0,31,1500,10,6,0.1,1.0,"{'model__regressor__subsample': 0.7, 'model__regressor__reg_lambda': 0.1, 'model__regressor__reg_alpha': 1.0, 'model__regressor__num_leaves': 31, 'model__regressor__n_estimators': 1500, 'model__regressor__min_child_samples': 10, 'model__regressor__max_depth': 6, 'model__regressor__learning_rate': 0.1, 'model__regressor__colsample_bytree': 1.0}",-0.13884981950105316,-0.1302669089484298,-0.12623406238193813,-0.13178359694380704,0.005260835724395662,20,-0.0421031258783639,-0.043570227713004527,-0.04240537448219607,-0.04269290935785484,0.0006325104356670317
0.4530545075734456,0.0037376706908832462,0.02286243438720703,0.0018877132439483995,0.85,0.1,0.0,63,300,5,10,0.01,1.0,"{'model__regressor__subsample': 0.85, 'model__regressor__reg_lambda': 0.1, 'model__regressor__reg_alpha': 0.0, 'model__regressor__num_leaves': 63, 'model__regressor__n_estimators': 300, 'model__regressor__min_child_samples': 5, 'model__regressor__max_depth': 10, 'model__regressor__learning_rate': 0.01, 'model__regressor__colsample_bytree': 1.0}",-0.14417897888702477,-0.13637225253045937,-0.13316738094817757,-0.13790620412188725,0.0046244695483438295,30,-0.050636311778058225,-0.0533655915722638,-0.05126622284740625,-0.051756042065909426,0.0011668145236428987
0.3732883135477702,0.008739982006727702,0.028817415237426758,0.003988631982853577,0.7,10.0,0.1,31,1000,20,6,0.03,1.0,"{'model__regressor__subsample': 0.7, 'model__regressor__reg_lambda': 10.0, 'model__regressor__reg_alpha': 0.1, 'model__regressor__num_leaves': 31, 'model__regressor__n_estimators': 1000, 'model__regressor__min_child_samples': 20, 'model__regressor__max_depth': 6, 'model__regressor__learning_rate': 0.03, 'model__regressor__colsample_bytree': 1.0}",-0.1340160780296963,-0.1294085263746996,-0.12160887956121304,-0.12834449465520298,0.005120792001513999,8,-0.04117738589245831,-0.04310190229478152,-0.043624844442857476,-0.0426347108766991,0.0010523669210650468
0.21655917167663574,0.002585796095123029,0.03481189409891764,0.000804306583327116,0.85,0.1,0.0,15,600,40,-1,0.03,0.9,"{'model__regressor__subsample': 0.85, 'model__regressor__reg_lambda': 0.1, 'model__regressor__reg_alpha': 0.0, 'model__regressor__num_leaves': 15, 'model__regressor__n_estimators': 600, 'model__regressor__min_child_samples': 40, 'model__regressor__max_depth': -1, 'model__regressor__learning_rate': 0.03, 'model__regressor__colsample_bytree': 0.9}",-0.13986849484934424,-0.12773996165133525,-0.125030721997444,-0.13087972616604115,0.006451535564344447,17,-0.0567871450986469,-0.057470518439352365,-0.05798537742519641,-0.057414346987731894,0.0004907861727744757
0.13374892870585123,0.003050580867754403,0.013086318969726562,0.0003063257227992266,1.0,0.0,0.01,15,300,20,6,0.03,0.9,"{'model__regressor__subsample': 1.0, 'model__regressor__reg_lambda': 0.0, 'model__regressor__reg_alpha': 0.01, 'model__regressor__num_leaves': 15, 'model__regressor__n_estimators': 300, 'model__regressor__min_child_samples': 20, 'model__regressor__max_depth': 6, 'model__regressor__learning_rate': 0.03, 'model__regressor__colsample_bytree': 0.9}",-0.1367543462642305,-0.1275767495680963,-0.12488280415429398,-0.12973796666220694,0.005081766262033044,13,-0.06550638186411589,-0.07045599025013918,-0.07023736929756172,-0.06873324713727226,0.0022834832162806867
0.23683698972066244,0.003587507740611682,0.028255939483642578,0.0015607978759020632,1.0,0.1,1.0,63,1500,40,10,0.03,1.0,"{'model__regressor__subsample': 1.0, 'model__regressor__reg_lambda': 0.1, 'model__regressor__reg_alpha': 1.0, 'model__regressor__num_leaves': 63, 'model__regressor__n_estimators': 1500, 'model__regressor__min_child_samples': 40, 'model__regressor__max_depth': 10, 'model__regressor__learning_rate': 0.03, 'model__regressor__colsample_bytree': 1.0}",-0.14411786464386486,-0.13091787871153202,-0.1292381024074789,-0.13475794858762527,0.006653892772545683,27,-0.07596812589602013,-0.07924482201027115,-0.07788126452834584,-0.07769807081154571,0.0013439628739151048
0.2207043170928955,0.01873799547217127,0.021706899007161457,0.0019404787660349922,1.0,0.01,1.0,31,1500,40,-1,0.05,0.5,"{'model__regressor__subsample': 1.0, 'model__regressor__reg_lambda': 0.01, 'model__regressor__reg_alpha': 1.0, 'model__regressor__num_leaves': 31, 'model__regressor__n_estimators': 1500, 'model__regressor__min_child_samples': 40, 'model__regressor__max_depth': -1, 'model__regressor__learning_rate': 0.05, 'model__regressor__colsample_bytree': 0.5}",-0.13999402065113054,-0.12975834035155667,-0.12613663770485067,-0.13196299956917928,0.005868114815358693,22,-0.07828998016774259,-0.08133372932188272,-0.0818593878154032,-0.08049436576834283,0.001573439146170542
0.6047194798787435,0.004488822602480953,0.059589544932047524,0.0006268816654386654,0.85,0.0,0.1,15,1500,20,10,0.01,0.7,"{'model__regressor__subsample': 0.85, 'model__regressor__reg_lambda': 0.0, 'model__regressor__reg_alpha': 0.1, 'model__regressor__num_leaves': 15, 'model__regressor__n_estimators': 1500, 'model__regressor__min_child_samples': 20, 'model__regressor__max_depth': 10, 'model__regressor__learning_rate': 0.01, 'model__regressor__colsample_bytree': 0.7}",-0.1315915660159083,-0.12525441121011313,-0.12173206610560172,-0.12619268111054105,0.004079436025144537,2,-0.04787502202674423,-0.05081311893851448,-0.05015155643195108,-0.049613232465736595,0.0012584243813036312
0.2533390522003174,0.005190220415016893,0.0182339350382487,0.0019602184238534702,1.0,0.0,0.0,31,300,5,10,0.03,1.0,"{'model__regressor__subsample': 1.0, 'model__regressor__reg_lambda': 0.0, 'model__regressor__reg_alpha': 0.0, 'model__regressor__num_leaves': 31, 'model__regressor__n_estimators': 300, 'model__regressor__min_child_samples': 5, 'model__regressor__max_depth': 10, 'model__regressor__learning_rate': 0.03, 'model__regressor__colsample_bytree': 1.0}",-0.13746123622977216,-0.12899004236697403,-0.12948937637176436,-0.13198021832283688,0.0038810223381813653,23,-0.02402937875267247,-0.025597227841688143,-0.023700259221498814,-0.024442288605286477,0.0008276446082246663
